"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E-Commerce","0","Product Management","1","0","Brand Filtering","0"
"0","SauceDemo","1","Login","0","0","Locked User Login","0"
"0","Restful-Booker API","0","Booking - UPDATE","1","0","Partial Update via PATCH","0"
"0","E-Commerce","0","Product Management","1","0","Product Search","0"
"0","User Management","0","User Login","1","0","Failed Login","0"
"0","User Management","0","User Login","2","0","Successful Login","0"
"0","SauceDemo","5","Product Catalog","0","0","","0"
"0","Restful-Booker API","0","Booking - UPDATE","1","0","Full Update via PUT","0"
"0","","0","","3","0","Authentication API","0"
"0","User Management","0","User Registration","1","0","User Registration","0"
"0","Restful-Booker API","0","Booking - GET","1","0","List All Bookings","0"
"0","Restful-Booker API","0","Booking - DELETE","1","0","Successful Deletion","0"
"0","Restful-Booker API","0","Booking - CREATE","1","0","Create Booking","0"
"0","Restful-Booker API","0","Booking - GET","1","0","Filter Bookings by Date","0"
"0","Restful-Booker API","0","Booking - UPDATE","1","0","Unauthorized Update","0"
"0","Restful-Booker API","0","Authentication","1","0","Empty Credentials","0"
"0","E-Commerce","0","Checkout & Payment","1","0","Checkout with Existing User","0"
"0","API Testing","3","","0","0","Authentication API","0"
"0","","0","","2","0","Product Search API","0"
"0","User Management","0","User Login","1","0","User Logout","0"
"0","E-Commerce","0","Shopping Cart","1","0","Recommended Items","0"
"0","Restful-Booker API","0","End-to-End Booking Lifecycle","1","0","Create → Update → Verify → Delete","0"
"0","Additional Flows","0","Scroll Up/Down with Arrow","1","0","Page Navigation","0"
"0","E-Commerce","0","Checkout & Payment","1","0","Contact Us","0"
"0","Restful-Booker API","0","Booking - GET","1","0","Invalid Booking ID","0"
"0","Additional Flows","0","Search Products with Login","1","0","Search and Cart","0"
"0","E-Commerce","0","Checkout & Payment","1","0","Invoice Download","0"
"0","User Management","0","User Registration","1","0","User Registration - Negative","0"
"0","API Testing","0","","1","0","Brands API","0"
"0","SauceDemo","5","Checkout","0","0","","0"
"0","Restful-Booker API","0","Booking - DELETE","1","0","Unauthorized Deletion","0"
"0","E-Commerce","0","Product Management","1","0","Add to Cart","0"
"0","SauceDemo","1","Login","0","0","Empty Credentials Validation","0"
"0","E-Commerce","0","Shopping Cart","1","0","Newsletter Subscription","0"
"0","SauceDemo","1","Login","0","0","Successful Login","0"
"0","Restful-Booker API","0","Booking - GET","1","0","Get Single Booking","0"
"0","User Management","0","User Login","1","0","Form Validation","0"
"0","Restful-Booker API","0","Booking - CREATE","1","0","Invalid Booking Payload","0"
"0","Restful-Booker API","0","Authentication","1","0","Failed Token Generation","0"
"0","Additional Flows","0","Place Order with Pre-registration","1","0","Checkout Flow","0"
"0","E-Commerce","0","Checkout & Payment","1","0","Checkout with Registration","0"
"0","Restful-Booker API","0","Authentication","1","0","Successful Token Generation","0"
"0","","0","","4","0","User Management API","0"
"0","E-Commerce","0","Product Management","1","0","Product Listing","0"
"0","API Testing","0","AutomationExercise APIs","1","0","Products API","0"
"0","E-Commerce","0","Checkout & Payment","1","0","Verify address details in checkout page","0"
"0","","0","","2","0","Brands API","0"
"0","E-Commerce","1","Shopping Cart","1","0","Remove from Cart","0"
"0","SauceDemo","1","End-to-End Purchase","0","0","Complete Purchase Flow","0"
"0","API Testing","1","","0","0","Search API","0"
"0","E-Commerce","1","Product Management","0","0","Category Filtering","0"
"0","Restful-Booker API","0","Booking - DELETE","1","0","Delete Non-Existent Booking","0"
"0","API Testing","1","","1","0","Products API","0"
"0","Additional Flows","0","Home Page Subscription","1","0","Newsletter Subscription","0"
"0","E-Commerce","0","Shopping Cart","1","0","Multiple Products","0"
"0","E-Commerce","0","Product Management","1","0","Product Review","0"
"0","API Testing","0","AutomationExercise APIs","1","0","Authentication API","0"
"0","Additional Flows","0","Scroll Up/Down without Arrow","1","0","Page Navigation","0"
"0","SauceDemo","1","Login","0","0","Failed Login - Wrong Password","0"
"0","","0","","1","0","Products API","0"
"0","Additional Flows","0","Test Cases Page","1","0","Navigation","0"
"0","E-Commerce","0","Shopping Cart","1","0","Cart Quantity","0"
